ID	Title	Short name	Biological organization
213	N/A, Parent compound is converted to the reactive metabolite and forms free radicals leading to oxidation of heme iron(II) in hemoglobin to iron(III)	N/A, Parent compound is converted to the reactive metabolite and forms free radicals leadin	Molecular
214	Bile accumulation, Pathological condition	Bile accumulation, Pathological condition	Cellular
216	Decreased, PCK1 expression (control point for glycolysis/gluconeogenesis pathway)	Decreased, PCK1 expression (control point for glycolysis/gluconeogenesis pathway)	Cellular
219	Reduction, Plasma 17beta-estradiol concentrations	Reduction, Plasma 17beta-estradiol concentrations	Individual
220	Increase, Plasma vitellogenin concentrations	Increase, Plasma vitellogenin concentrations	Organ
221	Reduction, Plasma vitellogenin concentrations	Reduction, Plasma vitellogenin concentrations	Organ
222	Elimination of (high doses), Posterior cardinal vein	Elimination of (high doses), Posterior cardinal vein	
227	Activation, PPAR_	Activation, PPAR_	Molecular
228	peroxisome proliferator activated receptor promoter demethylation	demethylation, PPARg promoter	Molecular
231	Decreased, PPAR-alpha activation	Decreased, PPAR-alpha activation	Molecular
232	Decreased, PPAR-beta activation	Decreased, PPAR-beta activation	Molecular
233	Decreased, PPAR-gamma activation	Decreased, PPAR-gamma activation	Molecular
234	Activation, PPAR_ & PPAR_	Activation, PPAR_ & PPAR_	Molecular
238	Induction, Pre-mature molting	Induction, Pre-mature molting	
239	Activation, Pregnane-X receptor, NR1l2	Activation, Pregnane-X receptor, NR1l2	Molecular
240	Feminisation or incomplete development, Primary and accessory male sex organs	Feminisation or incomplete development, Primary and accessory male sex organs	Organ
243	Reduction, Prostaglandin E2 concentration	Reduction, Prostaglandin E2 concentration	Tissue
244	Alkylation, Protein	Alkylation, Protein	Molecular
245	Activation, PXR/SXR	Activation, PXR/SXR	Molecular
246	Increase, RBC congestion in liver	Increase, RBC congestion in liver	Organ
249	Production, Reactive oxygen species	Production, Reactive oxygen species	Tissue
250	"Damaging, Red blood cells; hemolysis"	"Damaging, Red blood cells; hemolysis"	Cellular
252	Increase, Renal pathology due to VTG deposition	Increase, Renal pathology due to VTG deposition	Organ
253	N/A, Reproductive failure	N/A, Reproductive failure	Individual
257	Increase, Reactive oxygen species production	Increase, ROS production	Molecular
258	Activation, SCD-1	Activation, SCD-1	Molecular
259	Decrease, Serum thyroxine (T4)	Decrease, Serum thyroxine (T4)	
261	Binding, SH-/selen-proteins	Binding, SH-/selen-proteins	Molecular
264	Activation, SREBP-1c	Activation, SREBP-1c	Molecular
265	Activation, Stellate cells	Activation, Stellate cells	Cellular
266	Decrease, Steroidogenic acute regulatory protein (STAR)	Decrease, Steroidogenic acute regulatory protein (STAR)	Cellular
267	Damage, Structure of the cochlea	Damage, Structure of the cochlea	
269	Induction, Sustained Cell Proliferation	Induction, Sustained Cell Proliferation	Cellular
270	Induction, Sustained Hepatotoxicity	Induction, Sustained Hepatotoxicity	Individual
272	Activation/Proliferation, T-cells	Activation/Proliferation, T-cells	Organ
274	Reduction, Testosterone synthesis by ovarian theca cells	Reduction, Testosterone synthesis by ovarian theca cells	Cellular
276	Up Regulation, TGFbeta1 expression	Up Regulation, TGFbeta1 expression	Cellular
277	Decrease of thyroid hormone synthesis	TH synthesis, Decreased	Cellular
279	Thyroperoxidase, Inhibition	Thyroperoxidase, Inhibition	Molecular
280	Decrease of thyroxine (T4) in neuronal tissue	T4 in neuronal tissue, Decreased	Organ
281	Decrease of thyroxine (T4) in serum	T4 in serum, Decreased	Tissue
283	Decrease, Tissue thyroid hormone concentration	Decrease, Tissue thyroid hormone concentration	
284	Decrease, TR-regulated cochlear proteins	Decrease, TR-regulated cochlear proteins	
285	Reduction, Vitellogenin synthesis in liver	Reduction, Vitellogenin synthesis in liver	Tissue
286	Decreased, Transcription of genes by AR	Decreased, Transcription of genes by AR	Cellular
288	Activation of specific nuclear receptors, Transcriptional change	Activation of specific nuclear receptors, Transcriptional change	Cellular
289	Decrease, Translocator protein (TSPO)	Decrease, Translocator protein (TSPO)	Cellular
291	Accumulation, Triglyceride	Accumulation, Triglyceride	Cellular
294	N/A, Unknown	N/A, Unknown	Molecular
295	Induction, Upregulation of glucuronyltransferase activity	Induction, Upregulation of glucuronyltransferase activity	Molecular
298	Insufficiency, Vascular	Insufficiency, Vascular	Molecular
301	Binding, VEGF-A	Binding, VEGF-A	
302	Production, VEGF-A	Production, VEGF-A	
304	Decreased, VegfR2	Decreased, VegfR2	
305	Inhibition, VegfR2	Inhibition, VegfR2	Molecular
307	Increase, Vitellogenin synthesis in liver	Increase, Vitellogenin synthesis in liver	Tissue
309	Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development	Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development	Cellular
310	Alteration, Wnt pathway	Alteration, Wnt pathway	Cellular
312	N/A, Allergic contact dermatitis on challenge	N/A, Allergic contact dermatitis on challenge	Individual
313	Increase, Allergic Respiratory Hypersensitivity Response	Increase, Allergic Respiratory Hypersensitivity Response	Organ
315	Decreased, Body length	Decreased, Body length	
317	Altered, Cardiovascular development/function	Altered, Cardiovascular development/function	Organ
319	Loss, Cochlear function	Loss, Cochlear function	Organ
320	Increase, Curved body axis	Increase, Curved body axis	
321	N/A, Cyanosis occurs	N/A, Cyanosis occurs	Individual
323	Increased, Disease susceptibility	Increased, Disease susceptibility	Individual
325	N/A, Embryotoxicity	N/A, Embryotoxicity	Individual
327	Accumulation, Fatty acid	Accumulation, Fatty acid	Organ
328	Reduction, Fecundity	Reduction, Fecundity	
330	Decrease, Fertility	Decrease, Fertility	Individual
331	Decreased, Fetal birth weight	Decreased, Fetal birth weight	
332	Increased, Functional deficits	Increased, Functional deficits	
334	Promotion, Hepatocelluar carcinoma	Promotion, Hepatocelluar carcinoma	Individual
336	Increase, Heritable mutations in offspring	Increase, Heritable mutations in offspring	Individual
337	N/A, Impairment of reproductive capacity	N/A, Impairment of reproductive capacity	Individual
339	Altered, Larval development	Altered, Larval development	Individual
341	Impairment, Learning and memory	Impairment, Learning and memory	Individual
342	Increased, Lethality	Increased, Lethality	
344	N/A, Liver fibrosis	N/A, Liver fibrosis	Organ
345	N/A, Liver Steatosis	N/A, Liver Steatosis	Organ
346	Undefined, Liver Steatosis	Undefined, Liver Steatosis	Organ
347	Formation, Liver tumor	Formation, Liver tumor	Individual
348	Malformation, Male reproductive tract	Malformation, Male reproductive tract	Organ
350	Increase, Mortality	Increase, Mortality	Individual
351	Increased, Mortality	Increased, Mortality	Population
352	N/A, Neurodegeneration	N/A, Neurodegeneration	Tissue
356	Increased, Oxidative damage	Increased, Oxidative damage	Individual
357	Cholestasis, Pathology	Cholestasis, Pathology	Individual
358	Increase, Pericardial edema	Increase, Pericardial edema	Organ
360	Decrease, Population trajectory	Decrease, Population trajectory	Individual
361	Decline, Population	Decline, Population	Population
363	Altered, Reproductive behaviour	Altered, Reproductive behaviour	Individual
364	Impaired development of, Reproductive organs	Impaired development of, Reproductive organs	Individual
366	Increased, Structural malformations	Increased, Structural malformations	
369	Uroporphyria	Uroporphyria	Individual
373	Formation, Pro-mutagenic DNA Adducts	Formation, Pro-mutagenic DNA Adducts	Molecular
376	Increased, Induced Mutations in Critical Genes	Increased, Induced Mutations in Critical Genes	Cellular
377	Increased, Proliferation/Clonal Expansion of Mutant Cells (Pre-Neoplastic Lesions/Altered Hepatic Foci (AHF))	Increased, Proliferation/Clonal Expansion of Mutant Cells (Pre-Neoplastic Lesions/Altered H	
378	Tumorigenesis, Hepatocellular carcinoma	Tumorigenesis, Hepatocellular carcinoma	Individual
380	Activation, Pre-MIE: Metabolism of AFB1	Activation, Pre-MIE: Metabolism of AFB1	Molecular
381	Reduced levels of BDNF	BDNF, Reduced	Molecular
382	Aberrant, Dendritic morphology	Aberrant, Dendritic morphology	Cellular
383	Reduced, Presynaptic release of glutamate	Reduced, Presynaptic release of glutamate	Molecular
384	Increased, Clonal Expansion / Cell Proliferatin to form Pre-Neoplastic Altered Hepatic Foci	Increased, Clonal Expansion / Cell Proliferatin to form Pre-Neoplastic Altered Hepatic Foci	
385	Decrease of synaptogenesis	Synaptogenesis, Decreased	Cellular
386	Decrease of neuronal network function	Neuronal network function, Decreased	Organ
387	Binding of agonist, NMDARs	Binding of agonist, NMDARs	Molecular
388	Overactivation, NMDARs	Overactivation, NMDARs	Molecular
389	Increased, Intracellular Calcium overload	Increased, Intracellular Calcium overload	Cellular
396	Covalent Binding, Protein	Covalent Binding, Protein	Molecular
397	Response, Keratinocytes	Response, Keratinocytes	Cellular
398	Activation, Dendritic Cells	Activation, Dendritic Cells	Cellular
401	Increase, Biliary excretion TH glucuronide	Increase, Biliary excretion TH glucuronide	Organ
402	Cognitive Function, Decreased 	Cognitive Function, Decreased	Individual
403	Suppression, Immune system	Suppression, Immune system	Individual
405	irregularities, ovarian cycle	irregularities, ovarian cycle	Individual
406	impaired, Fertility	impaired, Fertility	Individual
408	reduction in ovarian granulosa cells, Aromatase (Cyp19a1)	reduction in ovarian granulosa cells, Aromatase (Cyp19a1)	Cellular
409	Metabolism of AFB1, Production of Reactive Electrophiles	Metabolism of AFB1, Production of Reactive Electrophiles	Molecular
413	Reduction, Testosterone synthesis in Leydig cells	Reduction, Testosterone synthesis in Leydig cells	Cellular
414	Increase, Luteinizing hormone (LH) 	Increase, Luteinizing hormone (LH)	Cellular
415	Hyperplasia, Leydig cell	Hyperplasia, Leydig cell	Organ
416	Increase proliferation, Leydig cell 	Increase proliferation, Leydig cell	Cellular
417	skewed, sex ratio	skewed, sex ratio	Population
418	Increased, Vitellogenin synthesis	Increased, Vitellogenin synthesis	Cellular
419	Increased, renal vitellogenin deposition	Increased, renal vitellogenin deposition	Organ
421	Increased, glomerular rupture and renal hemorrhaging	Increased, glomerular rupture and renal hemorrhaging	Organ
422	Increased, nephropathy	Increased, nephropathy	Individual
423	Increased, Clonal Expansion / Cell Proliferation to Form Pre-Neoplastic Altered Hepatic Foci	Increased, Clonal Expansion / Cell Proliferation to Form Pre-Neoplastic Altered Hepatic Foc	
424	Inhibition, Na+/I- symporter (NIS)	Inhibition, Na+/I- symporter (NIS)	Molecular
425	Decrease of Thyroidal iodide	Thyroidal Iodide, Decreased	Cellular
426	Decreased, Thyroxine (T4) in serum	Decreased, Thyroxine (T4) in serum	Tissue
427	Down Regulation, K-Cl co-transporter 2 (KCC2) 	Down Regulation, K-Cl co-transporter 2 (KCC2)	Cellular
428	Delay, Developmental GABA shift 	Delay, Developmental GABA shift	Cellular
429	Cellular Proliferation and Clonal Expansion of Mutant Cells (Pre-neoplastic Foci), Alteration of cellular growth homeostasis	Cellular Proliferation and Clonal Expansion of Mutant Cells (Pre-neoplastic Foci), Alterati	
442	Decreased, Population trajectory	Decreased, Population trajectory	Population
444	Increased, Atrioventricular block and bradycardia	Increased, Atrioventricular block and bradycardia	Organ
445	Increased, Respiratory distress/arrest	Increased, Respiratory distress/arrest	Organ
446	Reduction, testosterone level	Reduction, testosterone level	Tissue
447	Reduction, Cholesterol transport in mitochondria	Reduction, Cholesterol transport in mitochondria	Cellular
450	Suppression, VLDL secretion	Suppression, VLDL secretion	Cellular
451	Inhibition, Mitochondrial fatty acid beta-oxidation	Inhibition, Mitochondrial fatty acid beta-oxidation	Molecular
454	Increased, Triglyceride formation	Increased, Triglyceride formation	Cellular
455	Accumulation, Liver lipid	Accumulation, Liver lipid	Organ
456	Suppression, Constitutive androstane receptor, NR1l3	Suppression, Constitutive androstane receptor, NR1l3	Molecular
457	Activation, SREBF1	Activation, SREBF1	Molecular
458	Increased, De Novo FA synthesis	Increased, De Novo FA synthesis	Cellular
459	Increased, Liver Steatosis	Increased, Liver Steatosis	Organ
460	Increased, Fatty acid uptake	Increased, Fatty acid uptake	Cellular
461	Suppression, HNF4alpha	Suppression, HNF4alpha	Molecular
462	Up Regulation, SCD-1	Up Regulation, SCD-1	Molecular
463	Up Regulation, FAS	Up Regulation, FAS	Molecular
464	Increased, SCD-1	Increased, SCD-1	Molecular
465	Increased, FA Influx	Increased, FA Influx	Cellular
466	Up Regulation, LDLR (low density lipoprotein receptor)	Up Regulation, LDLR (low density lipoprotein receptor)	Molecular
467	Increased, LDL uptake	Increased, LDL uptake	Cellular
468	Inhibition, PPAR alpha	Inhibition, PPAR alpha	Molecular
470	Up Regulation, Acetyl-CoA carboxylase-1 (ACC-1)	Up Regulation, Acetyl-CoA carboxylase-1 (ACC-1)	Molecular
471	Inhibition, FoxA2	Inhibition, FoxA2	Molecular
472	Down Regulation, CPT1A	Down Regulation, CPT1A	Molecular
474	Down Regulation, HMGCS2	Down Regulation, HMGCS2	Molecular
475	Increased, Hepatic Triglycerides	Increased, Hepatic Triglycerides	Tissue
476	Accumulation, Hepatic FA	Accumulation, Hepatic FA	Organ
477	Decreased, Ketogenesis	Decreased, Ketogenesis	Cellular
478	Activation, NRF2	Activation, NRF2	Molecular
479	Activation, NR1H4	Activation, NR1H4	Molecular
480	Activation, SHP	Activation, SHP	Molecular
482	Decreased, DHB4/HSD17B4	Decreased, DHB4/HSD17B4	Molecular
483	Activation, LXR alpha	Activation, LXR alpha	Molecular
484	Activation, AKT2	Activation, AKT2	Molecular
485	Activtation, SREBP-1c	Activtation, SREBP-1c	Molecular
486	systemic inflammation leading to hepatic steatosis	inflammation	Organ
488	Decrease, Ovulation	Decrease, Ovulation	Organ
491	Clonal Expansion/Cell Proliferation, to form Altered Hepatic Foci (AHF)	Clonal Expansion/Cell Proliferation, to form Altered Hepatic Foci (AHF)	Organ
493	Increased, Insufficient repair or mis-repair of pro-mutagenic DNA adducts	Increased, Insufficient repair or mis-repair of pro-mutagenic DNA adducts	Molecular
494	Glucocorticoid Receptor Agonist, Activation	GR Agonist, Activation	Molecular
495	Repressed expression of steroidogenic enzymes 	Repressed expression of steroidogenic enzymes	Cellular
496	Increased apoptosis, decreased number of adult Leydig Cells 	Increased apoptosis, decreased Leydig Cells	Cellular
505	Decreased sperm quantity / quality in the adult, Decreased fertility 	Decreased sperm quantity / quality in the adult, Decreased fertility	Individual
520	Decreased sperm quantity or quality in the adult, Decreased fertility 	Decreased sperm quantity or quality in the adult, Decreased fertility	Individual
525	Apoptosis of adult Leydig cells, Decreased testosterone by adult Leydig cells	Apoptosis of adult Leydig cells, Decreased testosterone by adult Leydig cells	Cellular
526	Inhibition, Inhibition of Dopamine-beta-hydroxylase	Inhibition, Inhibition of Dopamine-beta-hydroxylase	Molecular
527	Decreased, Decreased fecundity 	Decreased, Decreased fecundity	Individual
528	Decreased, Synthesis of NE	Decreased, Synthesis of NE	Cellular
529	Decreased, GnRH cfos activity	Decreased, GnRH cfos activity	Molecular
530	Decreased, GnRH pulsatility/release	Decreased, GnRH pulsatility/release	Cellular
531	Decreased, LH Surge	Decreased, LH Surge	Cellular
532	Delayed, Ovulation	Delayed, Ovulation	Individual
533	Decreased, Cortical granule release/distribution upon fertilization	Decreased, Cortical granule release/distribution upon fertilization	Cellular
534	Altered, Formation of cortical envelope	Altered, Formation of cortical envelope	Cellular
535	Abnormal, Sperm penetration (polyspermy)	Abnormal, Sperm penetration (polyspermy)	Cellular
536	Altered, Chromosome number (polyploid) zygote	Altered, Chromosome number (polyploid) zygote	Cellular
540	Decreased testosterone by the fetal Leydig cells, Dysgensis of fetal Leydig cells	Decreased testosterone by the fetal Leydig cells, Dysgensis of fetal Leydig cells	Organ
541	Decreased testosterone by the fetal Leydig cells, Decreased COUP-TFII stem Leydig cells	Decreased testosterone by the fetal Leydig cells, Decreased COUP-TFII stem Leydig cells	Cellular
543	Decreased fertility in the adult, Decreased sperm quantity and/or quality in the adult testis	Decreased fertility in the adult, Decreased sperm quantity and/or quality in the adult test	Individual
559	Activation, Nicotinic acetylcholine receptor	Activation, Nicotinic acetylcholine receptor	Molecular
560	Abnormal, Foraging activity and behavior	Abnormal, Foraging activity and behavior	Individual
561	Reduced, Food storage	Reduced, Food storage	Population
563	Death/Failure, Colony	Death/Failure, Colony	Population
564	Abnormal, Roll change within caste	Abnormal, Roll change within caste	Population
565	Reduced, Brood care	Reduced, Brood care	Population
566	impaired, Larval development	impaired, Larval development	Population
568	impaired, Hive thermoregulation	impaired, Hive thermoregulation	Population
570	Accumulation, Damaged mitochondrial DNA	Accumulation, Damaged mitochondrial DNA	Cellular
571	Accelerated, Aging	Accelerated, Aging	Individual
572	Decrease, Number of worker bees	Decrease, Number of worker bees	Population
573	Increase, Energetic demands and therefore metabolic stress	Increase, Energetic demands and therefore metabolic stress	Individual
574	Increased, Appetite and hunger	Increased, Appetite and hunger	Individual
576	Increased, Viral susceptibility	Increased, Viral susceptibility	Individual
577	impaired, Development	impaired, Development	Individual
578	Decreased, Glucose oxidase enzyme activity	Decreased, Glucose oxidase enzyme activity	Molecular
579	Decreased, Hydrogen peroxide production	Decreased, Hydrogen peroxide production	Molecular
580	Reduced, Antiseptic incorporated in food	Reduced, Antiseptic incorporated in food	Population
583	impaired, Thoracic shivering	impaired, Thoracic shivering	Individual
584	Inhibition, sodium channel	Inhibition, sodium channel	Molecular
585	Decreased, Sodium conductance 1	Decreased, Sodium conductance 1	Cellular
586	Reduced, swimming speed	Reduced, swimming speed	Individual
587	Reduced, feeding 1	Reduced, feeding 1	Individual
588	Increased, predation	Increased, predation	Population
590	N/A, hypoxia	N/A, hypoxia	Tissue
591	Increased, amputations	Increased, amputations	Individual
592	Reduced, survival	Reduced, survival	Population
593	Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel	Molecular
598	modulation, sodium channel	modulation, sodium channel	Molecular
599	prolonged, Depolarization of neuronal membrane	prolonged, Depolarization of neuronal membrane	Cellular
600	Overactivation, Neuronotransmitter release	Overactivation, Neuronotransmitter release	Molecular
601	Overactivation, muscle contraction	Overactivation, muscle contraction	Tissue
602	Increased, Ataxia, paralysis, or hyperactivity	Increased, Ataxia, paralysis, or hyperactivity	Organ
613	Occurrence, Epileptic seizure	Occurrence, Epileptic seizure	Individual
616	Occurrence, A paroxysmal depolarizing shift	Occurrence, A paroxysmal depolarizing shift	Tissue
618	Decreased, Neuronal network function in adult brain	Decreased, Neuronal network function in adult brain	Organ
619	"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"	"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"	Molecular
620	Increased, serotonin (5-HT) 1 1	Increased, serotonin (5-HT) 1	Molecular
621	Increase, cilia movement	Increase, cilia movement	Tissue
622	Increased, locomotion	Increased, locomotion	Individual
623	Increase, predation	Increase, predation	Population
624	Increased, foot detachment	Increased, foot detachment	Individual
625	Increased, muscular waves in foot	Increased, muscular waves in foot	Organ
626	Increased, serotonin (5-HT) 	Increased, serotonin (5-HT)	Cellular
627	Decreased, anxiety	Decreased, anxiety	Individual
629	Decreased, sheltering	Decreased, sheltering	Individual
633	Decrease, histaminergic neuron excitation	Decrease, histaminergic neuron excitation	Cellular
634	N/A, sedation	N/A, sedation	Individual
635	Decreased, locomotion	Decreased, locomotion	Individual
636	Decreased, survival	Decreased, survival	Population
637	impaired, Learning and memory	impaired, Learning and memory	Individual
638	Antagonism, Histamine Receptor (H2)	Antagonism, Histamine Receptor (H2)	Molecular
640	Decreased steroidogenesis, Proteomic alterations in the adult Leydig cell	Decreased steroidogenesis, Proteomic alterations in the adult Leydig cell	Molecular
642	Decreased Cholesterol, Decreased De Novo Biosynthesis of Choleseterol	Decreased Cholesterol, Decreased De Novo Biosynthesis of Choleseterol	Molecular
643	Decreased Cholesterol, Decreased Uptake of Lipoproteins	Decreased Cholesterol, Decreased Uptake of Lipoproteins	Molecular
644	Decreased Cholesterol, Decreased Transport of Cholesterol to the Inner Mitochondrial Membrane	Decreased Cholesterol, Decreased Transport of Cholesterol to the Inner Mitochondrial Membra	Molecular
645	Decreased Cholesterol, Decreased Testosterone Production by Adult Leydig Cells	Decreased Cholesterol, Decreased Testosterone Production by Adult Leydig Cells	Cellular
646	Decreased Cholesterol, Decreased sperm quantity and/or quality in the adult testis	Decreased Cholesterol, Decreased sperm quantity and/or quality in the adult testis	Organ
