ID	Upstream event	Relationship type	Downstream event
188	Disruption, Mitochondrial electron transport chain	leads to	Decrease, Mitochondrial ATP production
189	Disruption, Mitochondrial electron transport chain	leads to	Increase, ROS production
190	Decreased, Mitochondrial fatty acid beta-oxidation	leads to	Accumulation, Fatty acid
194	Abnormal, Morphogenesis	leads to	Decreased, Fetal birth weight
195	Abnormal, Morphogenesis	leads to	Increased, Functional deficits
196	Abnormal, Morphogenesis	leads to	Increased, Lethality
197	Abnormal, Morphogenesis	leads to	Increased, Structural malformations
198	Increase, Mortality	leads to	Reduction, Fecundity
199	Increase, Mortality	leads to	Decline, Population
200	Increased, Mortality	leads to	Decline, Population
202	Increase, Mutations	leads to	Increase, Heritable mutations in offspring
203	Altered, Neuroanatomy	leads to	Altered, Neurophysiology
207	N/A, Neurodegeneration	leads to	N/A, Neuroinflammation
208	N/A, Neuroinflammation	leads to	N/A, Neurodegeneration
210	N/A, Neuronal dysfunction	leads to	N/A, Neuroinflammation
212	Decreased, Nitric Oxide	leads to	Decreased, Long-term potentiation (LTP)
213	Inhibition, NMDARs	leads to	Decreased, Calcium influx
214	Inhibition, NMDARs	leads to	Impairment, Learning and memory
215	Inhibition, NMDARs	leads to	N/A, Neuronal dysfunction
228	Binding of antagonist, NMDA receptors	leads to	Impairment, Learning and memory
229	Binding of antagonist, NMDA receptors	leads to	Inhibition, NMDARs
235	Peptide Oxidation	leads to	N/A, Embryotoxicity
236	Peptide Oxidation	leads to	Increased, Activation and Recruitment of Hepatic macrophages (Kupffer Cells)
238	Peptide Oxidation	leads to	Increase, Pericardial edema
239	N/A, Oxidative stress	leads to	N/A, Neuronal dysfunction
240	Propagation, Oxidative stress	leads to	Down Regulation, Gulcose-6-phosphate dehydrogenase
241	Propagation, Oxidative stress	leads to	"Damaging, Red blood cells; hemolysis"
242	N/A, Parent compound is converted to the reactive metabolite and forms free radicals leadin	leads to	Altered regulation, Alpha hemoglobin
243	N/A, Parent compound is converted to the reactive metabolite and forms free radicals leadin	leads to	Formation, Formation of hemoglobin adducts
244	N/A, Parent compound is converted to the reactive metabolite and forms free radicals leadin	leads to	Propagation, Oxidative stress
245	N/A, Parent compound is converted to the reactive metabolite and forms free radicals leadin	leads to	"Damaging, Red blood cells; hemolysis"
248	Bile accumulation, Pathological condition	leads to	Activation of specific nuclear receptors, Transcriptional change
252	Reduction, Plasma 17beta-estradiol concentrations	leads to	Reduction, Vitellogenin synthesis in liver
253	Reduction, Plasma 17beta-estradiol concentrations	leads to	Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development
254	Increase, Plasma vitellogenin concentrations	leads to	Increase, Renal pathology due to VTG deposition
255	Reduction, Plasma vitellogenin concentrations	leads to	Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development
256	demethylation, PPARg promoter	leads to	Decrease, Aromatase (Cyp19a1)
257	Decreased, PPAR-alpha activation	leads to	Decreased, HSD17B10 expression
259	Decreased, PPAR-beta activation	leads to	Decreased, HSD17B10 expression
260	Decreased, PPAR-gamma activation	leads to	Decreased, HSD17B10 expression
261	Induction, Pre-mature molting	leads to	Reduction, Fecundity
262	Induction, Pre-mature molting	leads to	Increase, Mortality
263	Induction, Pre-mature molting	leads to	Increased, Mortality
264	Activation, Pregnane-X receptor, NR1l2	leads to	Up Regulation, Hepatic transporter gene expression
265	Activation, Pregnane-X receptor, NR1l2	leads to	Induction, Upregulation of glucuronyltransferase activity
266	Feminisation or incomplete development, Primary and accessory male sex organs	leads to	N/A, Impairment of reproductive capacity
268	Reduction, Prostaglandin E2 concentration	leads to	N/A, Gap
269	Alkylation, Protein	leads to	N/A, Cell injury/death
271	Alkylation, Protein	leads to	Peptide Oxidation
272	Increase, RBC congestion in liver	leads to	N/A, Methemoglobinemia, decreased hemoglobin, hematocrit, red blood cell number
276	Production, Reactive oxygen species	leads to	Peptide Oxidation
277	"Damaging, Red blood cells; hemolysis"	leads to	Increase, Liver and splenic hemosiderosis
278	"Damaging, Red blood cells; hemolysis"	leads to	N/A, Methemoglobinemia, decreased hemoglobin, hematocrit, red blood cell number
279	"Damaging, Red blood cells; hemolysis"	leads to	Increase, RBC congestion in liver
280	Increase, Renal pathology due to VTG deposition	leads to	Altered, Larval development
282	Increase, ROS production	leads to	Decreased, Nitric Oxide
283	Increase, ROS production	leads to	Increased, Oxidative damage
284	Activation, SCD-1	leads to	Synthesis, De Novo FA
285	Decrease, Serum thyroxine (T4)	leads to	Decrease, Tissue thyroid hormone concentration
287	Binding, SH-/selen-proteins	leads to	N/A, Interferences with SH-/selen-proteins
294	Activation, SREBP-1c	leads to	Synthesis, De Novo FA
295	Activation, Stellate cells	leads to	Accumulation, Collagen
296	Increased, Structural malformations	leads to	Increased, Lethality
297	Damage, Structure of the cochlea	leads to	Loss, Cochlear function
298	Induction, Sustained Cell Proliferation	leads to	Formation, Liver tumor
299	Induction, Sustained Hepatotoxicity	leads to	Induction, Sustained Cell Proliferation
301	Activation/Proliferation, T-cells	leads to	N/A, Allergic contact dermatitis on challenge
302	Reduction, Testosterone synthesis by ovarian theca cells	leads to	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
303	Up Regulation, TGFbeta1 expression	leads to	Accumulation, Collagen
304	Up Regulation, TGFbeta1 expression	leads to	Activation, Stellate cells
305	TH synthesis, Decreased	leads to	T4 in serum, Decreased
309	Thyroperoxidase, Inhibition	leads to	TH synthesis, Decreased
312	T4 in serum, Decreased	leads to	T4 in neuronal tissue, Decreased
313	Decrease, Tissue thyroid hormone concentration	leads to	Decrease, TR-regulated cochlear proteins
314	Decrease, TR-regulated cochlear proteins	leads to	Damage, Structure of the cochlea
315	Reduction, Vitellogenin synthesis in liver	leads to	Reduction, Plasma vitellogenin concentrations
316	Decreased, Transcription of genes by AR	leads to	Feminisation or incomplete development, Primary and accessory male sex organs
317	Decreased, Transcription of genes by AR	leads to	Alteration, Wnt pathway
319	Activation of specific nuclear receptors, Transcriptional change	leads to	Cholestasis, Pathology
321	Accumulation, Triglyceride	leads to	Damaging, Mitochondria
324	N/A, Unknown	leads to	Proliferation, Cell proliferation in the absence of cytotoxicity
327	Induction, Upregulation of glucuronyltransferase activity	leads to	Up Regulation, Biliary excretion
329	Insufficiency, Vascular	leads to	Abnormal, Morphogenesis
330	Binding, VEGF-A	leads to	Decreased, VegfR2
331	Binding, VEGF-A	leads to	Inhibition, VegfR2
332	Production, VEGF-A	leads to	Binding, VEGF-A
333	Production, VEGF-A	leads to	Decreased, VegfR2
334	Decreased, VegfR2	leads to	Inhibition, VegfR2
335	Inhibition, VegfR2	leads to	Reduction, Angiogenesis
336	Increase, Vitellogenin synthesis in liver	leads to	Increase, Plasma vitellogenin concentrations
337	Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development	leads to	Reduction, Cumulative fecundity and spawning
338	Alteration, Wnt pathway	leads to	Feminisation or incomplete development, Primary and accessory male sex organs
340	Activation, Pre-MIE: Metabolism of AFB1	leads to	Formation, Pro-mutagenic DNA Adducts
342	Increased, Induced Mutations in Critical Genes	leads to	Increased, Proliferation/Clonal Expansion of Mutant Cells (Pre-Neoplastic Lesions/Altered H
343	Increased, Proliferation/Clonal Expansion of Mutant Cells (Pre-Neoplastic Lesions/Altered H	leads to	Tumorigenesis, Hepatocellular carcinoma
344	Formation, Pro-mutagenic DNA Adducts	leads to	Increased, Proliferation/Clonal Expansion of Mutant Cells (Pre-Neoplastic Lesions/Altered H
345	Formation, Pro-mutagenic DNA Adducts	leads to	Tumorigenesis, Hepatocellular carcinoma
346	Increased, Induced Mutations in Critical Genes	leads to	Tumorigenesis, Hepatocellular carcinoma
347	Decreased, Calcium influx	leads to	BDNF, Reduced
348	BDNF, Reduced	leads to	Aberrant, Dendritic morphology
350	Increased, Clonal Expansion / Cell Proliferatin to form Pre-Neoplastic Altered Hepatic Foci	leads to	Tumorigenesis, Hepatocellular carcinoma
351	Increased, Induced Mutations in Critical Genes	leads to	Increased, Clonal Expansion / Cell Proliferatin to form Pre-Neoplastic Altered Hepatic Foci
352	Formation, Pro-mutagenic DNA Adducts	leads to	Increased, Clonal Expansion / Cell Proliferatin to form Pre-Neoplastic Altered Hepatic Foci
353	BDNF, Reduced	leads to	N/A, Cell injury/death
354	BDNF, Reduced	leads to	Reduced, Presynaptic release of glutamate
355	N/A, Cell injury/death	leads to	Synaptogenesis, Decreased 
356	Aberrant, Dendritic morphology	leads to	Synaptogenesis, Decreased 
357	Reduced, Presynaptic release of glutamate	leads to	Synaptogenesis, Decreased 
358	Synaptogenesis, Decreased 	leads to	Neuronal network function, Decreased
359	Neuronal network function, Decreased	leads to	Impairment, Learning and memory
360	Binding of agonist, NMDARs	leads to	Overactivation, NMDARs
361	Overactivation, NMDARs	leads to	Increased, Intracellular Calcium overload
362	Increased, Intracellular Calcium overload	leads to	N/A, Mitochondrial dysfunction 1
363	N/A, Mitochondrial dysfunction 1	leads to	N/A, Cell injury/death
364	N/A, Cell injury/death	leads to	N/A, Neurodegeneration
365	N/A, Cell injury/death	leads to	N/A, Neuroinflammation
366	Thyroperoxidase, Inhibition	leads to	T4 in serum, Decreased
368	N/A, Neurodegeneration	leads to	Neuronal network function, Decreased
369	Activation, PPAR_	leads to	Decrease, Steroidogenic acute regulatory protein (STAR)
370	Activation, PPAR_	leads to	Decrease, Translocator protein (TSPO)
376	Covalent Binding, Protein	leads to	Response, Keratinocytes
377	Covalent Binding, Protein	leads to	Activation, Dendritic Cells
378	Response, Keratinocytes	leads to	Activation, Dendritic Cells
379	Activation, Dendritic Cells	leads to	Activation/Proliferation, T-cells
380	Response, Keratinocytes	leads to	Activation/Proliferation, T-cells
381	Induction, Upregulation of glucuronyltransferase activity	leads to	Decrease, Serum thyroxine (T4)
382	Increase, Biliary excretion TH glucuronide	leads to	Decrease, Serum thyroxine (T4)
383	Thyroperoxidase, Inhibition	leads to	Cognitive Function, Decreased 
384	Altered, Neurophysiology	leads to	Cognitive Function, Decreased 
385	Activation, Glucocorticoid Receptor	leads to	Induction, IKB inhibitory protein
386	Induction, IKB inhibitory protein	leads to	Inhibition, Nuclear factor kappa B (NF-kB)
387	Inhibition, Nuclear factor kappa B (NF-kB)	leads to	Suppression, Inflammatory cytokines
388	Suppression, Inflammatory cytokines	leads to	Decreased, Lymphocytes
389	Decreased, Lymphocytes	leads to	Increased, Disease susceptibility
390	Decreased, Lymphocytes	leads to	Suppression, Immune system
392	Reduction, Plasma 17beta-estradiol concentrations	leads to	irregularities, ovarian cycle
393	irregularities, ovarian cycle	leads to	Decrease, Fertility
394	irregularities, ovarian cycle	leads to	impaired, Fertility
395	demethylation, PPARg promoter	leads to	reduction in ovarian granulosa cells, Aromatase (Cyp19a1)
396	reduction in ovarian granulosa cells, Aromatase (Cyp19a1)	leads to	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
398	Increase proliferation, Leydig cell 	leads to	Hyperplasia, Leydig cell
399	Decrease, Translocator protein (TSPO)	leads to	Reduction, Testosterone synthesis in Leydig cells
402	Metabolism of AFB1, Production of Reactive Electrophiles	leads to	Formation, Pro-mutagenic DNA Adducts
403	T4 in serum, Decreased	leads to	Cognitive Function, Decreased 
405	Malformation, Male reproductive tract	leads to	impaired, Fertility
411	demethylation, PPARg promoter	leads to	Up Regulation, CD36
428	Increased, Mortality	leads to	Decreased, Population trajectory
432	Increased, Atrioventricular block and bradycardia	leads to	Increased, Mortality
433	Increased, Respiratory distress/arrest	leads to	Increased, Mortality
434	Induction, Ataxia, paralysis, or hyperactivity	leads to	Increased, Mortality
436	Decrease, Steroidogenic acute regulatory protein (STAR)	leads to	Reduction, Cholesterol transport in mitochondria
437	Decrease, Translocator protein (TSPO)	leads to	Reduction, Cholesterol transport in mitochondria
438	Reduction, Cholesterol transport in mitochondria	leads to	Reduction, Testosterone synthesis in Leydig cells
439	Reduction, Testosterone synthesis in Leydig cells	leads to	Reduction, testosterone level
442	Inhibition, Na+/I- symporter (NIS)	leads to	Thyroidal Iodide, Decreased
443	Thyroidal Iodide, Decreased	leads to	T4 in serum, Decreased
444	T4 in neuronal tissue, Decreased	leads to	BDNF, Reduced
445	BDNF, Reduced	leads to	Down Regulation, K-Cl co-transporter 2 (KCC2) 
446	Down Regulation, K-Cl co-transporter 2 (KCC2) 	leads to	Delay, Developmental GABA shift 
447	Delay, Developmental GABA shift 	leads to	Synaptogenesis, Decreased 
448	BDNF, Reduced	leads to	Synaptogenesis, Decreased 
449	Inhibition, Acetylcholinesterase (AchE)	leads to	Increased, Atrioventricular block and bradycardia
450	Inhibition, Acetylcholinesterase (AchE)	leads to	Increased, Respiratory distress/arrest
451	Inhibition, Acetylcholinesterase (AchE)	leads to	Induction, Ataxia, paralysis, or hyperactivity
452	Inhibition, Acetylcholinesterase (AchE)	leads to	Increased, Mortality
453	Inhibition, Acetylcholinesterase (AchE)	leads to	Decreased, Population trajectory
454	Accumulation, Acetylcholine in synapses	leads to	Increased, Atrioventricular block and bradycardia
456	Accumulation, Acetylcholine in synapses	leads to	Induction, Ataxia, paralysis, or hyperactivity
457	Induction, Ataxia, paralysis, or hyperactivity	leads to	Increased, Respiratory distress/arrest
459	Accumulation, Acetylcholine in synapses	leads to	Inhibition, Acetylcholinesterase (AchE)
460	Reduction, testosterone level	leads to	Increase, Luteinizing hormone (LH) 
461	Increase, Luteinizing hormone (LH) 	leads to	Increase proliferation, Leydig cell 
462	Hyperplasia, Leydig cell	leads to	impaired, Fertility
470	Inhibition, Mitochondrial fatty acid beta-oxidation	leads to	Accumulation, Liver lipid
471	Suppression, VLDL secretion	leads to	Accumulation, Liver lipid
472	Accumulation, Fatty acid	leads to	Accumulation, Triglyceride
473	Activation, AhR	leads to	Inhibition, Mitochondrial fatty acid beta-oxidation
474	Accumulation, Triglyceride	leads to	Accumulation, Liver lipid
475	Inhibition, Mitochondrial fatty acid beta-oxidation	leads to	Accumulation, Fatty acid
476	Suppression, Constitutive androstane receptor, NR1l3	leads to	Activation, LXR
477	Suppression, Constitutive androstane receptor, NR1l3	leads to	demethylation, PPARg promoter
478	Activation, LXR	leads to	Increased, Fatty acid uptake
479	Activation, LXR	leads to	Activation, SREBF1
481	Increased, Fatty acid uptake	leads to	Increased, Liver Steatosis
482	Activation, SREBF1	leads to	Increased, De Novo FA synthesis
483	Activation, ChREBP	leads to	Increased, De Novo FA synthesis
484	Increased, De Novo FA synthesis	leads to	Increased, Triglyceride formation
485	Increased, Fatty acid uptake	leads to	Increased, Triglyceride formation
486	Increased, Triglyceride formation	leads to	Increased, Liver Steatosis
487	demethylation, PPARg promoter	leads to	Activation, SREBF1
488	demethylation, PPARg promoter	leads to	Increased, Fatty acid uptake
489	Activation, SREBF1	leads to	Up Regulation, SCD-1
490	Activation, LXR	leads to	Up Regulation, FAS
491	Activation, LXR	leads to	Up Regulation, SCD-1
492	Up Regulation, FAS	leads to	Increased, De Novo FA synthesis
493	Up Regulation, SCD-1	leads to	Increased, Triglyceride formation
494	Up Regulation, CD36	leads to	Increased, Fatty acid uptake
495	Activation, AhR	leads to	Up Regulation, CD36
496	Activation, AhR	leads to	Increased, FA Influx
497	Activation, AhR	leads to	Increased, SCD-1
499	Activation, AhR	leads to	Decreased, PCK1 expression (control point for glycolysis/gluconeogenesis pathway)
500	Increased, SCD-1	leads to	Accumulation, Triglyceride
501	Up Regulation, CD36	leads to	Increased, FA Influx
502	Accumulation, Fatty acid	leads to	Accumulation, Liver lipid
503	Decreased, PCK1 expression (control point for glycolysis/gluconeogenesis pathway)	leads to	Accumulation, Fatty acid
504	Increased, FA Influx	leads to	Accumulation, Triglyceride
505	Increased, FA Influx	leads to	Accumulation, Fatty acid
506	Activation, AhR	leads to	Up Regulation, LDLR (low density lipoprotein receptor)
507	Up Regulation, LDLR (low density lipoprotein receptor)	leads to	Increased, LDL uptake
508	Increased, LDL uptake	leads to	Accumulation, Fatty acid
509	Activation, AhR	leads to	Suppression, VLDL secretion
510	Activation, LXR	leads to	Inhibition, PPAR alpha
511	Inhibition, PPAR alpha	leads to	Inhibition, Mitochondrial fatty acid beta-oxidation
512	Increased, De Novo FA synthesis	leads to	Accumulation, Fatty acid
513	Increased, Fatty acid uptake	leads to	Accumulation, Fatty acid
514	Accumulation, Fatty acid	leads to	Increased, Triglyceride formation
515	Accumulation, Fatty acid	leads to	Increased, Liver Steatosis
516	Activation, LXR	leads to	Up Regulation, Acetyl-CoA carboxylase-1 (ACC-1)
517	Up Regulation, Acetyl-CoA carboxylase-1 (ACC-1)	leads to	Increased, De Novo FA synthesis
518	Activation, PXR/SXR	leads to	Inhibition, FoxA2
519	Inhibition, FoxA2	leads to	Down Regulation, CPT1A
520	Down Regulation, CPT1A	leads to	Decreased, Mitochondrial fatty acid beta-oxidation
521	Decreased, Mitochondrial fatty acid beta-oxidation	leads to	Accumulation, Hepatic FA
522	Accumulation, Hepatic FA	leads to	Increased, Liver Steatosis
523	Inhibition, FoxA2	leads to	Down Regulation, HMGCS2
524	Down Regulation, HMGCS2	leads to	Decreased, Ketogenesis
525	Decreased, Ketogenesis	leads to	Accumulation, Hepatic FA
526	Activation, PXR/SXR	leads to	Up Regulation, SCD-1
527	Up Regulation, SCD-1	leads to	Increased, Hepatic Triglycerides
528	Increased, Hepatic Triglycerides	leads to	Increased, Liver Steatosis
529	Activation, PXR/SXR	leads to	Up Regulation, CD36
530	Increased, FA Influx	leads to	Increased, Hepatic Triglycerides
531	Increased, FA Influx	leads to	Accumulation, Hepatic FA
532	Activation, NRF2	leads to	Activation, NR1H4
533	Activation, NR1H4	leads to	Activation, SHP
534	Activation, NR1H4	leads to	Activation, PPAR_
535	Activation, PPAR_	leads to	Activation, LXR alpha
537	Decreased, DHB4/HSD17B4	leads to	Inhibition, Mitochondrial fatty acid beta-oxidation
538	Inhibition, Mitochondrial fatty acid beta-oxidation	leads to	Increased, Liver Steatosis
539	Activation, AKT2	leads to	Activtation, SREBP-1c
540	Activtation, SREBP-1c	leads to	Increased, Liver Steatosis
541	inflammation	leads to	Activation, AKT2
544	Decrease, Ovulation	leads to	Reduction, Cumulative fecundity and spawning
547	Increased, Insufficient repair or mis-repair of pro-mutagenic DNA adducts	leads to	Increased, Induced Mutations in Critical Genes
548	Formation, Pro-mutagenic DNA Adducts	leads to	Increased, Insufficient repair or mis-repair of pro-mutagenic DNA adducts
549	Increased, Induced Mutations in Critical Genes	leads to	Clonal Expansion/Cell Proliferation, to form Altered Hepatic Foci (AHF)
550	Clonal Expansion/Cell Proliferation, to form Altered Hepatic Foci (AHF)	leads to	Tumorigenesis, Hepatocellular carcinoma
551	Formation, Pro-mutagenic DNA Adducts	leads to	Clonal Expansion/Cell Proliferation, to form Altered Hepatic Foci (AHF)
552	Inhibition, Na+/I- symporter (NIS)	leads to	TH synthesis, Decreased
558	Reduced, Food storage	leads to	Decrease, Number of worker bees
559	Decrease, Number of worker bees	leads to	Death/Failure, Colony
562	Reduced, Food storage	leads to	impaired, Larval development
563	impaired, Larval development	leads to	Death/Failure, Colony
564	Impairment, Learning and memory	leads to	Abnormal, Roll change within caste
565	Abnormal, Roll change within caste	leads to	Reduced, Brood care
566	Reduced, Brood care	leads to	impaired, Larval development
567	Increase, Energetic demands and therefore metabolic stress	leads to	Increased, Appetite and hunger
568	Increased, Appetite and hunger	leads to	Abnormal, Foraging activity and behavior
569	Abnormal, Foraging activity and behavior	leads to	Decrease, Number of worker bees
570	Suppression, Immune system	leads to	Increased, Viral susceptibility
571	Increased, Viral susceptibility	leads to	impaired, Development
572	impaired, Development	leads to	Decrease, Number of worker bees
573	Decrease, Number of worker bees	leads to	impaired, Hive thermoregulation
574	impaired, Hive thermoregulation	leads to	Death/Failure, Colony
575	Increased, Viral susceptibility	leads to	Abnormal, Foraging activity and behavior
576	Decreased, Glucose oxidase enzyme activity	leads to	Decreased, Hydrogen peroxide production
577	Decreased, Hydrogen peroxide production	leads to	Reduced, Antiseptic incorporated in food
578	Reduced, Antiseptic incorporated in food	leads to	Abnormal, Roll change within caste
579	Abnormal, Roll change within caste	leads to	Reduced, Food storage
580	Abnormal, Roll change within caste	leads to	Decrease, Number of worker bees
581	Activation, Nicotinic acetylcholine receptor	leads to	N/A, Mitochondrial dysfunction 1
582	N/A, Mitochondrial dysfunction 1	leads to	Neuronal network function, Decreased
583	Impairment, Learning and memory	leads to	Abnormal, Foraging activity and behavior
584	Abnormal, Foraging activity and behavior	leads to	Reduced, Food storage
585	Inhibition, sodium channel	leads to	Decreased, Sodium conductance 1
586	Decreased, Sodium conductance 1	leads to	Reduced, swimming speed
587	Reduced, swimming speed	leads to	Reduced, feeding 1
588	Reduced, swimming speed	leads to	Increased, predation
589	Reduced, feeding 1	leads to	Increased, predation
590	Inhibition, sodium channel	leads to	Increased, Atrioventricular block and bradycardia
591	Increased, Atrioventricular block and bradycardia	leads to	Increased, Respiratory distress/arrest
592	Increased, Respiratory distress/arrest	leads to	N/A, hypoxia
593	N/A, hypoxia	leads to	Increased, amputations
594	Decreased, Sodium conductance 1	leads to	Increased, Atrioventricular block and bradycardia
595	Increased, predation	leads to	Reduced, survival
596	Reduced, feeding 1	leads to	Reduced, survival
597	Inhibition, Ether-a-go-go (ERG) voltage-gated potassium channel 	leads to	Decreased, Sodium conductance 1
603	modulation, sodium channel	leads to	prolonged, Depolarization of neuronal membrane
604	prolonged, Depolarization of neuronal membrane	leads to	Overactivation, Neuronotransmitter release
605	Overactivation, Neuronotransmitter release	leads to	Overactivation, muscle contraction
606	Overactivation, muscle contraction	leads to	Increased, Ataxia, paralysis, or hyperactivity
607	Increased, Ataxia, paralysis, or hyperactivity	leads to	Increased, Mortality
608	Reduction, testosterone level	leads to	Malformation, Male reproductive tract
617	Decreased, Mitochondrial fatty acid beta-oxidation	leads to	Increased, Liver Steatosis
630	Occurrence, A paroxysmal depolarizing shift	leads to	Occurrence, Epileptic seizure
634	Decreased, Neuronal network function in adult brain	leads to	Impairment, Learning and memory
635	"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"	leads to	Increased, serotonin (5-HT) 1
